drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
sda,0.87971,6.10673,0.17898,1.24245
dm-0,0.00824,0.0572,0.0,0.0
dm-1,0.2346,1.62853,0.17898,1.24245
dm-2,0.00138,0.00959,0.0,0.0
dm-3,0.0,0.0,0.0,0.0
dm-4,0.0,0.0,0.0,0.0
dm-5,0.0,0.0,0.0,0.0
sde,0.13312,0.92407,96.74013,671.55008
sdc,0.17488,1.21396,52.89898,367.21382
sdb,0.82124,5.7009,52.5593,364.85585
sdd,0.20036,1.39082,52.63607,365.38877
sdi,0.0716,0.49702,51.52489,357.67521
sdh,0.07286,0.50575,51.52498,357.6758
sdg,0.12952,0.8991,97.7293,678.4167
sdf,0.13255,0.92013,97.7293,678.4167
sdm,0.07538,0.52328,47.31631,328.46012
sdj,0.07331,0.50888,51.52429,357.67103
sdl,0.07463,0.51804,47.31585,328.45689
sdk,0.0757,0.52551,47.3157,328.45583
sdn,0.07595,0.5272,47.31491,328.45037
sdq,0.00883,0.0613,0.0,0.0
sdo,0.00883,0.06133,0.0,0.0
sdp,0.00869,0.06035,0.0,0.0
sds,0.04741,0.32913,25.58333,177.5942
sdu,0.04982,0.34581,22.51797,156.31509
sdt,0.06607,0.45862,36.62165,254.21996
sdr,0.06785,0.47101,36.62265,254.2269
dm-6,0.20654,1.43373,52.5593,364.85585
zd16,0.17518,1.21606,52.5593,364.85584
zd48,0.18216,1.26452,52.5593,364.85584
zd32,0.43889,3.0467,52.5593,364.85585
zd0,0.18372,1.27532,52.5593,364.85584
zd64,0.18697,1.29794,52.5593,364.85585
