drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
sda,2.14892,5.36518,0.60476,1.50989
dm-0,0.00824,0.02057,0.0,0.0
dm-1,0.42178,1.05306,0.60476,1.50989
dm-2,0.00138,0.00345,0.0,0.0
dm-3,0.0,0.0,0.0,0.0
dm-4,0.0,0.0,0.0,0.0
dm-5,0.0,0.0,0.0,0.0
sde,1.9207,4.79538,243.18409,607.15297
sdc,0.67184,1.67737,134.91985,336.85175
sdb,2.35064,5.8688,174.73672,436.26176
sdd,0.68019,1.69822,133.80177,334.06027
sdi,0.80709,2.01504,134.20227,335.06019
sdh,0.80955,2.02119,134.20095,335.05689
sdg,1.12526,2.80942,245.27917,612.38371
sdf,1.12589,2.81098,245.27917,612.38371
sdm,1.09215,2.72675,125.40405,313.09385
sdj,0.80809,2.01753,134.20013,335.05486
sdl,1.13165,2.82536,125.40285,313.09084
sdk,1.13961,2.84523,125.40398,313.09366
sdn,1.10116,2.74925,125.40257,313.09014
sdq,0.00883,0.02205,0.0,0.0
sdo,0.00883,0.02206,0.0,0.0
sdp,0.00869,0.0217,0.0,0.0
sds,0.38956,0.97261,69.80403,174.27836
sdu,0.32084,0.80104,65.31897,163.0806
sdt,0.92225,2.30257,96.5515,241.05824
sdr,0.85038,2.12314,96.551,241.057
dm-6,0.6539,1.63259,174.73672,436.26176
zd16,0.71701,1.79016,174.73672,436.26176
zd48,0.7858,1.96189,174.73672,436.26176
zd32,1.04338,2.60499,174.73672,436.26176
zd0,0.70892,1.76996,174.73672,436.26176
zd64,0.75817,1.8929,174.73672,436.26176
