drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.36401,8.3477,52.55805,1205.29979
vdb,0.18505,4.24365,52.55805,1205.29979
vdc,0.17325,3.97316,52.55804,1205.29977
vdd,0.18023,4.13325,52.55804,1205.29977
vde,0.19837,4.54922,52.55805,1205.29979
vdf,0.1996,4.5774,52.55805,1205.29979
vdg,0.22824,5.23411,52.55805,1205.29979
vdh,0.18179,4.16893,52.55804,1205.29977
sr0,0.00969,0.2222,0.0,0.0
