drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.36487,7.53421,101.48171,2095.47672
vdb,0.18623,3.84535,101.48171,2095.47672
vdc,0.17411,3.5951,101.48171,2095.4767
vdd,0.18126,3.7428,101.48171,2095.4767
vde,0.19898,4.10876,101.48171,2095.47672
vdf,0.20054,4.14083,101.48171,2095.47672
vdg,0.22946,4.73812,101.48171,2095.47672
vdh,0.18234,3.76516,101.48171,2095.4767
sr0,0.00969,0.20007,0.0,0.0
