drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.96673,3.92727,122.05514,495.84228
vdb,0.75254,3.05716,122.05514,495.84228
vdc,0.71325,2.89755,122.05513,495.84228
vdd,0.78134,3.17414,122.05513,495.84228
vde,0.64438,2.61777,122.05514,495.84228
vdf,0.67034,2.72321,122.05514,495.84228
vdg,0.68216,2.77122,122.05514,495.84228
vdh,0.70564,2.8666,122.05513,495.84228
sr0,0.00969,0.03936,0.0,0.0
