drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.96837,3.22923,174.73125,582.67557
vdb,0.75624,2.52183,174.73125,582.67557
vdc,0.71509,2.3846,174.73125,582.67556
vdd,0.78387,2.61397,174.73125,582.67556
vde,0.64574,2.15335,174.73125,582.67557
vdf,0.67246,2.24244,174.73125,582.67557
vdg,0.68378,2.2802,174.73125,582.67557
vdh,0.707,2.35762,174.73125,582.67556
sr0,0.00969,0.03231,0.0,0.0
