drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.97272,3.09302,227.13113,722.22786
vdb,0.75871,2.41252,227.13113,722.22786
vdc,0.71704,2.28004,227.13113,722.22785
vdd,0.78537,2.4973,227.13113,722.22785
vde,0.64663,2.05614,227.13113,722.22786
vdf,0.67336,2.14113,227.13113,722.22786
vdg,0.68537,2.17933,227.13113,722.22786
vdh,0.70755,2.24986,227.13113,722.22785
sr0,0.00969,0.03081,0.0,0.0
