drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.35941,42.34941,3.31235,390.2935
vdb,0.18086,21.31017,3.31235,390.2935
vdc,0.16959,19.98329,3.31234,390.29339
vdd,0.17677,20.82922,3.31234,390.29339
vde,0.19608,23.10452,3.31235,390.2935
vdf,0.1956,23.04749,3.31235,390.2935
vdg,0.22579,26.60466,3.31235,390.2935
vdh,0.17677,20.82916,3.31234,390.29339
sr0,0.00969,1.14169,0.0,0.0
