drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,2.56663,7.51214,291.00658,851.73234
vdb,2.36445,6.92039,291.00658,851.73234
vdc,2.3255,6.80639,291.00658,851.73234
vdd,2.37491,6.951,291.00658,851.73234
vde,1.8609,5.44657,291.00658,851.73234
vdf,1.84463,5.39895,291.00658,851.73234
vdg,1.80707,5.28903,291.00658,851.73234
vdh,2.16029,6.32284,291.00658,851.73234
sr0,0.00969,0.02836,0.0,0.0
