drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
vda,0.03525,35.23314,0.03126,31.23955
vdb,0.03153,31.51214,0.03126,31.23955
vdc,0.03235,32.33564,0.03126,31.23955
vdd,0.03842,38.3975,0.03126,31.23955
vde,0.04648,46.4533,0.03126,31.23955
vdf,0.04262,42.59506,0.03126,31.23955
vdg,0.03864,38.62244,0.03126,31.23955
vdh,0.03553,35.51145,0.03126,31.23955
sr0,0.00969,9.68373,0.0,0.0
