drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
sda,9.21469,36.95791,11.84585,47.51086
dm-0,1.00043,4.01247,1.56765,6.28747
dm-1,1.03886,4.16662,0.33432,1.34088
dm-2,0.00317,0.01273,0.02448,0.09819
dm-3,1.99808,8.01381,9.91914,39.78327
dm-4,1.99808,8.01381,9.91914,39.78327
dm-5,0.0,0.0,0.0,0.0
sde,3.0002,12.03307,70.53223,282.88785
sdc,3.01096,12.07624,68.12718,273.24179
sdd,3.05913,12.26942,20.97122,84.11054
sdb,3.22503,12.93484,12.30818,49.36518
sdh,2.98068,11.9548,18.88851,75.75727
sdi,2.98217,11.96077,18.68177,74.92812
sdf,2.97444,11.92976,20.04198,80.38358
sdg,3.00281,12.04355,19.29684,77.39498
sdk,2.97752,11.94211,10.19105,40.87386
sdm,1.76686,7.08644,10.16405,40.76556
sdl,2.8769,11.53854,10.18583,40.85293
sdj,2.96068,11.87456,20.23521,81.15858
sdo,0.02379,0.09541,0.00013,0.00052
sdq,0.02174,0.08719,7e-05,0.00028
sdp,0.0216,0.08664,7e-05,0.00028
sdn,0.0388,0.15562,0.00421,0.0169
sds,0.03861,0.15486,0.00353,0.01414
sdt,0.03896,0.15626,0.00349,0.01399
sdu,0.04215,0.16907,8.40539,33.71199
sdr,0.0395,0.15844,0.00353,0.01414
dm-6,2.06697,8.29014,8.8946,35.6741
zd0,2.77456,11.1281,10.09791,40.50029
zd16,2.77613,11.13438,10.09791,40.50029
zd32,2.77392,11.12554,10.09791,40.50029
zd48,2.77487,11.12936,10.09791,40.50029
zd64,2.77575,11.13286,10.09791,40.50029
zd80,2.77353,11.12398,10.09791,40.50029
zd96,2.77364,11.12439,10.09791,40.50029
zd112,2.77526,11.13091,10.09791,40.50029
zd128,2.7732,11.12265,10.09791,40.50029
zd144,2.77306,11.12206,10.09791,40.50029
