drive,read,readDay,write,writeDay
loop0,0.0,0.0,0.0,0.0
loop1,0.0,0.0,0.0,0.0
loop2,0.0,0.0,0.0,0.0
loop3,0.0,0.0,0.0,0.0
loop4,0.0,0.0,0.0,0.0
loop5,0.0,0.0,0.0,0.0
loop6,0.0,0.0,0.0,0.0
loop7,0.0,0.0,0.0,0.0
sda,11.2091,29.11359,12.16835,31.60507
dm-0,1.00043,2.59843,1.56765,4.07169
dm-1,1.63994,4.25945,0.52417,1.36145
dm-2,0.00386,0.01003,0.02554,0.06632
dm-3,2.81796,7.31915,10.05073,26.10494
dm-4,2.81796,7.31915,10.05073,26.10494
dm-5,0.0,0.0,0.0,0.0
sde,51.58143,133.97339,285.51691,741.57828
sdc,50.26123,130.54442,284.96142,740.1355
sdd,48.87791,126.9515,243.57319,632.6371
sdb,17.79525,46.21994,150.88094,391.88581
sdh,50.41464,130.94286,231.19167,600.47835
sdi,49.79879,129.3433,232.25685,603.24496
sdf,51.57069,133.94549,239.29506,621.52543
sdg,49.94127,129.71336,237.73439,617.47186
sdk,50.26038,130.5422,148.63866,386.06191
sdm,13.14205,34.13409,149.70483,388.83108
sdl,50.63824,131.52362,148.59599,385.95108
sdj,51.01986,132.51483,236.88218,615.25841
sdo,0.02379,0.06179,0.00013,0.00034
sdq,0.02174,0.05647,7e-05,0.00018
sdp,0.0216,0.05611,7e-05,0.00018
sdn,0.0388,0.10078,0.00421,0.01094
sds,0.03861,0.10028,0.00353,0.00916
sdt,0.03896,0.10119,0.00349,0.00906
sdu,0.04215,0.10949,85.65355,222.46954
sdr,0.0395,0.1026,0.00353,0.00916
dm-6,2.8931,7.5143,9.02448,23.43945
zd0,8.88787,23.08463,148.53141,385.78335
zd16,8.78161,22.80863,148.53086,385.78192
zd32,8.84362,22.96969,148.53164,385.78394
zd48,8.82707,22.92672,148.53098,385.78223
zd64,8.82613,22.92428,148.53117,385.78273
zd80,8.81248,22.88882,148.53103,385.78235
zd96,8.86385,23.02223,148.53148,385.78352
zd112,8.87126,23.04147,148.53144,385.78342
zd128,8.93426,23.20511,148.5324,385.78592
zd144,9.07584,23.57285,148.53142,385.78338
